,deso,in_traffic,not_in_traffic,tot
480,0180C5810,652,137,789
481,0180C5820,929,183,1112
482,0180C5830,799,81,880
483,0180C5840,530,53,583
484,0180C5850,909,82,991
485,0180C5860,826,140,966
486,0180C5870,540,86,626
487,0180C5880,358,140,498
488,0180C5890,670,87,757
489,0180C5900,36,18,54
490,0180C5910,670,138,808
491,0180C5920,700,96,796
492,0180C5930,638,78,716
493,0180C5940,445,43,488
494,0180C5950,509,48,557
495,0180C5960,569,133,702
496,0180C5970,778,89,867
497,0180C5980,453,141,594
498,0180C5990,867,77,944
499,0180C6000,664,122,786
500,0180C6010,630,61,691
501,0180C6020,937,71,1008
502,0180C6030,744,86,830
503,0180C6040,635,108,743
504,0180C6050,925,96,1021
505,0180C6060,980,97,1077
506,0180C6070,227,125,352
507,0180C6080,552,74,626
508,0180C6090,327,91,418
509,0180C6100,211,63,274
510,0180C6110,212,61,273
511,0180C6120,232,612,844
512,0180C6130,524,67,591
513,0180C6140,368,63,431
514,0180C6150,368,88,456
515,0180C6160,247,73,320
516,0180C6170,300,44,344
517,0180C6180,299,96,395
518,0180C6190,924,71,995
519,0180C6200,326,44,370
520,0180C6210,308,112,420
521,0180C6220,319,80,399
522,0180C6230,191,48,239
523,0180C6240,352,103,455
524,0180C6250,258,96,354
525,0180C6260,290,106,396
526,0180C6270,363,96,459
527,0180C6280,463,48,511
528,0180C6290,608,80,688
529,0180C6300,370,48,418
530,0180C6310,248,64,312
531,0180C6320,415,55,470
532,0180C6330,198,25,223
533,0180C6340,380,40,420
534,0180C6350,334,111,445
535,0180C6360,342,91,433
536,0180C6370,251,198,449
537,0180C6380,304,76,380
538,0180C6390,453,49,502
539,0180C6400,453,88,541
540,0180C6410,447,40,487
541,0180C6420,296,94,390
542,0180C6430,265,45,310
543,0180C6440,384,69,453
